Configuration,Experiment,Test Goal Completion Rate,Test Subgoal Completion Rate,Page F1,Page Recall,Page Precision,Page Accuracy,Assertion F1,Assertion Recall,Assertion Precision
Baseline AutoDroid,Exp 1,0.06512605,0.0627376425855513,0.0,0.0,0.0,0.8288770053475936,0.0,0.0,0.0
Baseline AutoDroid,Exp 2,0.095132743,0.0860420650095602,0.0,0.0,0.0,0.8143459915611815,0.0,0.0,0.0
Baseline AutoDroid,Exp 3,0.067833698,0.0728346456692913,0.0,0.0,0.0,0.6262626262626263,0.0,0.0,0.0
OODroid (Full),Exp 1,0.224669604,0.2198019801980198,0.4561403508771929,0.5855855855855856,0.3735632183908046,0.8016194331983806,0.144927536231884,0.2314814814814814,0.1054852320675105
OODroid (Full),Exp 2,0.229257642,0.2297029702970297,0.4584717607973422,0.5948275862068966,0.372972972972973,0.8439646712463199,0.2114803625377643,0.3017241379310345,0.1627906976744186
OODroid (Full),Exp 3,0.238611714,0.2300194931773879,0.4315068493150685,0.5338983050847458,0.3620689655172414,0.8520992366412213,0.1609907120743034,0.2321428571428571,0.1232227488151658
Without SOD,Exp 1,0.19650655,0.1952662721893491,0.0,0.0,0.0,0.8455414012738853,0.0,0.0,0.0
Without Conflict Adaptation,Exp 1,0.212719298,0.2099009900990099,0.5304659498207885,0.6981132075471698,0.4277456647398844,0.812960235640648,0.2148760330578512,0.40625,0.146067415730337
Without Conflict Adaptation,Exp 2,0.196261682,0.19375,0.5344827586206896,0.6666666666666666,0.4460431654676259,0.8330605564648118,0.1806451612903225,0.3181818181818182,0.1261261261261261
Without Conflict Adaptation,Exp 3,0.199570815,0.2015503875968992,0.4841269841269842,0.5865384615384616,0.4121621621621621,0.8493317132442284,0.1648745519713261,0.2277227722772277,0.1292134831460674
